iter	Logloss
0	0.6665079067
1	0.6430072366
2	0.621912573
3	0.6036631997
4	0.587206386
5	0.5726309072
6	0.5596241423
7	0.5481727818
8	0.5382735273
9	0.5292933743
10	0.5211334963
11	0.5141877571
12	0.5081438335
13	0.5024903528
14	0.4975386251
15	0.4931201512
16	0.4890734163
17	0.4852404242
18	0.4818550247
19	0.4790008079
20	0.4762781023
21	0.4739064407
22	0.4717869127
23	0.469879068
24	0.4681534073
25	0.4666128091
26	0.4651202694
27	0.4638867227
28	0.4626084289
29	0.4613685006
30	0.4604426222
31	0.4594849157
32	0.4586368091
33	0.4578941673
34	0.4570687125
35	0.4563473363
36	0.4557964605
37	0.4552401752
38	0.4546695461
39	0.4541717668
40	0.453698283
41	0.4533313787
42	0.4529638891
43	0.4526415573
44	0.4522802689
45	0.4519528765
46	0.4516232567
47	0.4513063644
48	0.4510744798
49	0.4508146006
50	0.4505663168
51	0.4503668906
52	0.4501821135
53	0.4499987214
54	0.449800763
55	0.4495923552
56	0.4494217997
57	0.4492462325
58	0.4491003758
59	0.4489501283
60	0.4487653979
61	0.4486275025
62	0.4484936745
63	0.4483721202
64	0.4482597503
65	0.4481444365
66	0.4480123256
67	0.4479276723
68	0.4478140151
69	0.4477114604
70	0.4476132889
71	0.4475220115
72	0.4474422382
73	0.4473313866
74	0.4472394036
75	0.4471270083
76	0.4470549422
77	0.4469800801
78	0.4469133388
79	0.4468426028
80	0.4467552893
81	0.4466833388
82	0.4466081302
83	0.4465310459
84	0.4464451355
85	0.4463822297
86	0.4463238766
87	0.446257413
88	0.4461888931
89	0.4461017874
90	0.4460463103
91	0.4459932932
92	0.4459379599
93	0.4458872784
94	0.4458338278
95	0.4457694845
96	0.445711293
97	0.4456270305
98	0.4455614521
99	0.4455089562
100	0.4454608957
101	0.4454066287
102	0.4453561916
103	0.4453066692
104	0.4452523714
105	0.4451909424
106	0.4451353368
107	0.445094999
108	0.4450429999
109	0.4449814256
110	0.4449286784
111	0.444871886
112	0.4448149352
113	0.4447698753
114	0.4447280821
115	0.4446809908
116	0.4446380294
117	0.4445863889
118	0.4445443808
119	0.4444821024
120	0.4444402052
121	0.4443954962
122	0.4443593836
